site,text,label,score
twitter,"hi my order seems to be stuck awaiting dispatch, can you check please? 51800233200",LABEL_0,0.9643076658248901
twitter,"hi guns, my partner took a return to the post office & despite every effort the arcade would not scan - the only thing the guy cut do was accept the parcel as the address was clearly shown. we have the proof of posting but your system is not going to pick it up?",LABEL_0,0.9737580418586731
twitter,when my money will be refused?,LABEL_0,0.9785282015800476
twitter,your 'notify me' function isn't working by the way.,LABEL_0,0.979454517364502
twitter,"poor services....kindly either close your store at orbit mall, hyderbad or improve your services... shame",LABEL_0,0.97920161485672
twitter,yes i follow,LABEL_0,0.8505843281745911
twitter,"hi, if i want to put multiple packages in one return package (through very), do i need to put multiple return labels on the parcel or just one?",LABEL_0,0.9701849222183228
twitter,i ordered a dress on wednesday morning at about am for a party bearing in mind the 2-days for delivery. it's saturday status says order packed. it's been so for the last days. i've constantly experienced this with h&m and its so frustration.,LABEL_0,0.9724006652832031
twitter,"ordered like two dresses a while ago for my birthday next week, and i haven't even had an email to say if they've been dispatched from warehouse need them for my birthday fr",LABEL_0,0.978816568851471
twitter,return page is not working . location india,LABEL_0,0.9755914211273193
twitter,"thanks, sent a do",LABEL_0,0.5151007771492004
twitter,hi. i sent my order to the wrong address by mistake. very and you have sent me a confirmation of it being delivered but the new occupied says it was sent back - can you help find what's happening? thanks.,LABEL_0,0.9602031111717224
twitter,hi excavating an issue with order. it's been 12 days and my order has not reached me. upon contracting customer care they have been lodging the request and keep asking me to wait for 48 hours this has been happening since the with.,LABEL_0,0.9808643460273743
twitter,my wishlist has suddenly vanished. it was there till yesterday and then last night all of a sudden it's gone. one urates their wishlist so that they can get things slowly and now all of a sudden it's not there. help.,LABEL_0,0.978719174861908
twitter,"his, i returned an item to you monday, they're usually pretty swift with the return, however another payment from klan has gone out in that time & no sign of you receiving the return. how much longer do i give it? many thanks!",LABEL_0,0.8768448233604431
twitter,an order made on with which said delivery within 2-4 days is still in your warehouse and hasn't moved since with feb 00:00. can you please send me this parcel. order 51773874070,LABEL_0,0.9126800298690796
twitter,"yes, i think two more too ..! thanks for helping me decide..!",LABEL_1,0.9071396589279175
twitter,my order has still not been delivered.your telephone customer services is poor & asked me to wait 10 days before calling back to ask for refund. this is completely against the sales of goods act. the order was supposed to be delivered within 2-4 days it is now day 6,LABEL_0,0.9818265438079834
twitter,i just did. thank you,LABEL_1,0.7605868577957153
twitter,"hi, any idea when this product will be available in nl again?",LABEL_0,0.9688366055488586
twitter,my order is showing as delivered but photo shows it's clearly not at my address and i haven't signed for it. hope can this be resolved please?? order 51736693130,LABEL_0,0.9619768857955933
twitter,ordered goods on tuesday night and just checked my delivery status as i needed the items for tomorrow. apparently they're still in the warehouse and haven't been dispatched. the order said delivery would be 2-4 days.,LABEL_0,0.9663330912590027
