|tweet
0|@hm when i catch you! why do the points go away at the beginning of the year!?!?!?
1|@_desiwinter @hm @HotTopic @zumiez  https://t.co/KarlVgVK8K
2|@SkiiMaskJordan @hm @HotTopic @zumiez This is fire. 🔥
3|@hm this zip is the best rn  https://t.co/FAUAj8UlSJ
4|Since when did @hm not allow you to try on clothes in store anymore? That definitely won’t last long. We already don’t want to spend money as is. Smh.
5|@hm @hm_custserv when my money will be refunded?  https://t.co/FunND2Pxlh
6|@hm studio a/w 2023 must haves. 💕  https://t.co/49Zh3WrU10
7|@hm @morgreynolds Hello , could you please tell me if the black blazer with number 1086465006 will be restocked in india?🥺 Need the blazer urgently😞
8|Please do not engage sa mga negative. Instead, let’s continue streaming:  Sayang Tayo MV ⬇️  https://t.co/GEcCsA0gkr  @hm @hmphilippines campaign on Blythe’s YT account ⬇️  https://t.co/3gYZd8tkcX  DO NOT FORGET to vote for @iamandrea_b for TikTok Star of  https://t.co/NjMExHk3nU…  https://t.co/3tLND8jP7L
9|Cotton candy couture, brought to you by #HMStudio @hm  Spring/Summer 2023. 💖 The collection is out very soon!  https://t.co/DqhdHOimYh
10|Ideas for #tstheerastour: @hm purple sequin dress Three variations  https://t.co/ibiqRDcyWf
11|@hm Inorbit store oy yours in Hyderabad, India is poorly managed...long lines for trial room and billing counter...staff harrases customers and does not have billing details...infact all this is mental trauma...going to consumer court for billing purpose...
12|@hm your store at Inorbit mall is poorly managed. Staff is not cooperative, rude and does not know their job.they kept standing me for three hours for billing...were not in their counters and did not have details of the products...shame
13|@hm share ur mail id . U people r very hard to understand. Despite repeated complaints u r not responding.
14|All H&amp;M fit. I need that sponsorship @hm
15|@hm really disappointed to be told the item I wanted to return had gone down in price and the store could only refund me the reduced amount :-(
16|H&amp;M Tropical Essentials 2023 @hm @hmphilippines @YouTube featuring #AndreaBrillantes @iamandrea_b   Please engage ⬇️   https://t.co/5nGdGT3BGC  https://t.co/3koUMWpZxe
